[Summary]
Cell: MAB.210604.001
Description: MAB.210604.001
Protocol: C:\UHPC_data\Mitch\LNO-4.3V-OCV 15min-30C-max 2C.pro
Mass (mg): 0.99
Capacity (mAHr): 0.27209
User: 
Started: 6/4/2021 7:01:40 PM
Version: 3.0
Channel312UHPC6_03
[End Summary]
[Data]
Time (h),Cycle,Step,Meas I (A),Potential (V),Capacity (Ah),Prot.Step
8.05108824482059,1,1,1.390729575E-05,3.82466439,0.000111969508231089,0
8.13556505922806,1,1,1.390733855E-05,3.82969879,0.000113144348136197,0
8.21678071198431,1,1,1.3907113E-05,3.83473992,0.000114273830455704,0
8.29486880930862,1,1,1.390694365E-05,3.83976773,0.000115359805501486,0
8.37019877173877,1,1,1.39069657E-05,3.84481562,0.000116407418875513,0
8.44250851409648,1,1,1.39067604E-05,3.84984773,0.000117413025543334,0
8.51317247166845,1,1,1.390711725E-05,3.85493617,0.000118395746551327,0
8.58121896473933,1,1,1.390698795E-05,3.85999942,0.000119342067095662,0
8.64768224550724,1,1,1.39070111E-05,3.86508871,0.000120266371103471,0
8.71231778666177,1,1,1.39069643E-05,3.87014574,0.000121165258057304,0
8.77541720730221,1,1,1.390722885E-05,3.87517737,0.000122042786957233,0
8.83842774155956,1,1,1.390734765E-05,3.88028009,0.000122919086325596,0
8.89998557562617,1,1,1.39071256E-05,3.88530568,0.000123775185317379,0
8.96182887051922,1,1,1.390715595E-05,3.89034903,0.000124635255237577,0
9.02397880539345,1,1,1.390747105E-05,3.89536518,0.000125499591184312,0
9.08775100353079,1,1,1.39072308E-05,3.90044996,0.000126386497745854,0
9.15243096689125,1,1,1.39076826E-05,3.90551645,0.000127286033948739,0
9.21878198446947,1,1,1.39074795E-05,3.91058798,0.000128208811171034,0
9.28694307917706,1,1,1.390726685E-05,3.91567298,0.000129156764385618,0
9.35656750606952,1,1,1.39077577E-05,3.92075455,0.000130125069307088,0
9.42754186855622,1,1,1.390766545E-05,3.92584836,0.000131112148579204,0
9.49840658708854,1,1,1.390747295E-05,3.93088435,0.000132097696520044,0
9.5691083701682,1,1,1.39073206E-05,3.93590284,0.000133080971486401,0
9.64019818886468,1,1,1.390729955E-05,3.94097447,0.000134069644261704,0
9.71116984514387,1,1,1.39072164E-05,3.94607509,0.000135056667316344,0
9.78060172593822,1,1,1.3907094E-05,3.95111821,0.000136022261548609,0
9.84992453549364,1,1,1.390705615E-05,3.95620298,0.000136986330934192,0
9.9180220900637,1,1,1.390694595E-05,3.96123863,0.000137933358457469,0
9.98575900490124,1,1,1.390688845E-05,3.9662555,0.000138875366840946,0
10.0548166838259,1,1,1.390678915E-05,3.97134857,0.000139835741372539,0
10.1240299222305,1,1,1.39067313E-05,3.97641122,0.000140798273908963,0
10.1948075515674,1,1,1.39066983E-05,3.98149471,0.000141782558026282,0
10.2679897703592,1,1,1.390676565E-05,3.98658729,0.000142800286471461,0
10.3431000898629,1,1,1.39068075E-05,3.99163361,0.000143844831191782,0
10.4217577054333,1,1,1.390687675E-05,3.99666879,0.000144938710428324,0
10.5047931450157,1,1,1.390685735E-05,4.0016733,0.000146093465184914,0
10.5948200818009,1,1,1.39067584E-05,4.0067276,0.000147345449044863,0
10.6925097909659,1,1,1.390692855E-05,4.01177031,0.000148704003052213,0
10.8000654201983,1,1,1.390707225E-05,4.01683279,0.000150199767513182,0
10.9168914415762,1,1,1.39072208E-05,4.02184871,0.000151824461958816,0
11.0417521109648,1,1,1.390721755E-05,4.02685137,0.000153560921093515,0
11.1703440949659,1,1,1.390733395E-05,4.03187829,0.000155349301708162,0
11.2925497306286,1,1,1.390727945E-05,4.03688395,0.000157048870190787,0
11.4041534918052,1,1,1.390722165E-05,4.04192331,0.000158600978488732,0
11.5020166525729,1,1,1.390696085E-05,4.04700249,0.000159961979285885,0
11.586341489222,1,1,1.390713745E-05,4.05205486,0.000161134693092337,0
11.6600992261827,1,1,1.390705315E-05,4.05715361,0.000162160440781802,0
11.7251080623258,1,1,1.39070512E-05,4.06225427,0.000163064516133249,0
11.7826425598105,1,1,1.390701485E-05,4.06725766,0.000163864643000041,0
11.8358530975859,1,1,1.39073703E-05,4.07228684,0.000164604650696714,0
11.8859135774785,1,1,1.390706705E-05,4.07736227,0.000165300849876353,0
11.933371749646,1,1,1.390717735E-05,4.08244475,0.000165960863128867,0
11.9793517907218,1,1,1.390659875E-05,4.08758256,0.00016660031091445,0
